Product,MarketYear,AttributeDescription,CountryName,Value
Barley,2000,Area Harvested,Canada,4468
Barley,2000,Beginning Stocks,Canada,2838
Barley,2000,Domestic Consumption,Canada,11618
Barley,2000,Ending Stocks,Canada,2516
Barley,2000,Exports,Canada,1971
Barley,2000,Feed Dom. Consumption,Canada,10145
Barley,2000,FSI Consumption,Canada,1473
Barley,2000,Imports,Canada,38
Barley,2000,Production,Canada,13229
Barley,2000,Total Distribution,Canada,16105
Barley,2000,Total Supply,Canada,16105
Barley,2000,TY Exports,Canada,2014
Barley,2000,TY Imp. from U.S.,Canada,67
Barley,2000,TY Imports,Canada,67
Barley,2000,Yield,Canada,2.96Barley,2001,Area Harvested,Canada,4150
Barley,2001,Beginning Stocks,Canada,2516
Barley,2001,Domestic Consumption,Canada,10405
Barley,2001,Ending Stocks,Canada,1898
Barley,2001,Exports,Canada,1164
Barley,2001,Feed Dom. Consumption,Canada,8979
Barley,2001,FSI Consumption,Canada,1426
Barley,2001,Imports,Canada,105
Barley,2001,Production,Canada,10846
Barley,2001,Total Distribution,Canada,13467
Barley,2001,Total Supply,Canada,13467
Barley,2001,TY Exports,Canada,1146
Barley,2001,TY Imp. from U.S.,Canada,126
Barley,2001,TY Imports,Canada,126
Barley,2001,Yield,Canada,2.61Barley,2002,Area Harvested,Canada,3342
Barley,2002,Beginning Stocks,Canada,1898
Barley,2002,Domestic Consumption,Canada,7711
Barley,2002,Ending Stocks,Canada,1475
Barley,2002,Exports,Canada,427
Barley,2002,Feed Dom. Consumption,Canada,6320
Barley,2002,FSI Consumption,Canada,1391
Barley,2002,Imports,Canada,247
Barley,2002,Production,Canada,7468
Barley,2002,Total Distribution,Canada,9613
Barley,2002,Total Supply,Canada,9613
Barley,2002,TY Exports,Canada,329
Barley,2002,TY Imp. from U.S.,Canada,150
Barley,2002,TY Imports,Canada,201
Barley,2002,Yield,Canada,2.23Barley,2003,Area Harvested,Canada,4397
Barley,2003,Beginning Stocks,Canada,1475
Barley,2003,Domestic Consumption,Canada,9714
Barley,2003,Ending Stocks,Canada,2102
Barley,2003,Exports,Canada,1854
Barley,2003,Feed Dom. Consumption,Canada,8357
Barley,2003,FSI Consumption,Canada,1357
Barley,2003,Imports,Canada,31
Barley,2003,Production,Canada,12164
Barley,2003,Total Distribution,Canada,13670
Barley,2003,Total Supply,Canada,13670
Barley,2003,TY Exports,Canada,1951
Barley,2003,TY Imp. from U.S.,Canada,29
Barley,2003,TY Imports,Canada,29
Barley,2003,Yield,Canada,2.77
Barley,2004,Area Harvested,Canada,3841
Barley,2004,Beginning Stocks,Canada,2102
Barley,2004,Domestic Consumption,Canada,10130
Barley,2004,Ending Stocks,Canada,3435
Barley,2004,Exports,Canada,1175
Barley,2004,Feed Dom. Consumption,Canada,8807
Barley,2004,FSI Consumption,Canada,1323
Barley,2004,Imports,Canada,81
Barley,2004,Production,Canada,12557
Barley,2004,Total Distribution,Canada,14740
Barley,2004,Total Supply,Canada,14740
Barley,2004,TY Exports,Canada,1535
Barley,2004,TY Imp. from U.S.,Canada,85
Barley,2004,TY Imports,Canada,86
Barley,2004,Yield,Canada,3.27
Barley,2005,Area Harvested,Canada,3634
Barley,2005,Beginning Stocks,Canada,3435
Barley,2005,Domestic Consumption,Canada,9636
Barley,2005,Ending Stocks,Canada,3289
Barley,2005,Exports,Canada,2232
Barley,2005,Feed Dom. Consumption,Canada,8398
Barley,2005,FSI Consumption,Canada,1238
Barley,2005,Imports,Canada,44
Barley,2005,Production,Canada,11678
Barley,2005,Total Distribution,Canada,15157
Barley,2005,Total Supply,Canada,15157
Barley,2005,TY Exports,Canada,1876
Barley,2005,TY Imp. from U.S.,Canada,45
Barley,2005,TY Imports,Canada,46
Barley,2005,Yield,Canada,3.21
Barley,2006,Area Harvested,Canada,3223
Barley,2006,Beginning Stocks,Canada,3289
Barley,2006,Domestic Consumption,Canada,10182
Barley,2006,Ending Stocks,Canada,1491
Barley,2006,Exports,Canada,1232
Barley,2006,Feed Dom. Consumption,Canada,8757
Barley,2006,FSI Consumption,Canada,1425
Barley,2006,Imports,Canada,43
Barley,2006,Production,Canada,9573
Barley,2006,Total Distribution,Canada,12905
Barley,2006,Total Supply,Canada,12905
Barley,2006,TY Exports,Canada,1337
Barley,2006,TY Imp. from U.S.,Canada,41
Barley,2006,TY Imports,Canada,41
Barley,2006,Yield,Canada,2.97
Barley,2007,Area Harvested,Canada,3963
Barley,2007,Beginning Stocks,Canada,1491
Barley,2007,Domestic Consumption,Canada,7842
Barley,2007,Ending Stocks,Canada,1568
Barley,2007,Exports,Canada,3046
Barley,2007,Feed Dom. Consumption,Canada,6388
Barley,2007,FSI Consumption,Canada,1454
Barley,2007,Imports,Canada,55
Barley,2007,Production,Canada,10910
Barley,2007,Total Distribution,Canada,12456
Barley,2007,Total Supply,Canada,12456
Barley,2007,TY Exports,Canada,2947
Barley,2007,TY Imp. from U.S.,Canada,53
Barley,2007,TY Imports,Canada,53
