Product,Market_Year,Attribute_Description,Country_Name,Value
Rye,2000,Area Harvested,Canada,115
Rye,2000,Beginning Stocks,Canada,161
Rye,2000,Domestic Consumption,Canada,256
Rye,2000,Ending Stocks,Canada,77
Rye,2000,Exports,Canada,91
Rye,2000,Feed Dom. Consumption,Canada,171
Rye,2000,FSI Consumption,Canada,85
Rye,2000,Imports,Canada,3
Rye,2000,Production,Canada,260
Rye,2000,Total Distribution,Canada,424
Rye,2000,Total Supply,Canada,424
Rye,2000,TY Exports,Canada,91
Rye,2000,TY Imp. from U.S.,Canada,5
Rye,2000,TY Imports,Canada,5
Rye,2000,Yield,Canada,2.26Rye,2001,Area Harvested,Canada,123
Rye,2001,Beginning Stocks,Canada,77
Rye,2001,Domestic Consumption,Canada,193
Rye,2001,Ending Stocks,Canada,49
Rye,2001,Exports,Canada,66
Rye,2001,Feed Dom. Consumption,Canada,139
Rye,2001,FSI Consumption,Canada,54
Rye,2001,Imports,Canada,3
Rye,2001,Production,Canada,228
Rye,2001,Total Distribution,Canada,308
Rye,2001,Total Supply,Canada,308
Rye,2001,TY Exports,Canada,68
Rye,2001,TY Imp. from U.S.,Canada,2
Rye,2001,TY Imports,Canada,5
Rye,2001,Yield,Canada,1.85Rye,2002,Area Harvested,Canada,77
Rye,2002,Beginning Stocks,Canada,49
Rye,2002,Domestic Consumption,Canada,106
Rye,2002,Ending Stocks,Canada,25
Rye,2002,Exports,Canada,53
Rye,2002,Feed Dom. Consumption,Canada,46
Rye,2002,FSI Consumption,Canada,60
Rye,2002,Imports,Canada,1
Rye,2002,Production,Canada,134
Rye,2002,Total Distribution,Canada,184
Rye,2002,Total Supply,Canada,184
Rye,2002,TY Exports,Canada,44
Rye,2002,TY Imp. from U.S.,Canada,1
Rye,2002,TY Imports,Canada,2
Rye,2002,Yield,Canada,1.74Rye,2003,Area Harvested,Canada,147
Rye,2003,Beginning Stocks,Canada,25
Rye,2003,Domestic Consumption,Canada,136
Rye,2003,Ending Stocks,Canada,43
Rye,2003,Exports,Canada,173
Rye,2003,Feed Dom. Consumption,Canada,61
Rye,2003,FSI Consumption,Canada,75
Rye,2003,Imports,Canada,0
Rye,2003,Production,Canada,327
Rye,2003,Total Distribution,Canada,352
Rye,2003,Total Supply,Canada,352
Rye,2003,TY Exports,Canada,186
Rye,2003,TY Imp. from U.S.,Canada,0
Rye,2003,TY Imports,Canada,0
Rye,2003,Yield,Canada,2.22Rye,2004,Area Harvested,Canada,157
Rye,2004,Beginning Stocks,Canada,43
Rye,2004,Domestic Consumption,Canada,174
Rye,2004,Ending Stocks,Canada,145
Rye,2004,Exports,Canada,122
Rye,2004,Feed Dom. Consumption,Canada,109
Rye,2004,FSI Consumption,Canada,65
Rye,2004,Imports,Canada,0
Rye,2004,Production,Canada,398
Rye,2004,Total Distribution,Canada,441
Rye,2004,Total Supply,Canada,441
Rye,2004,TY Exports,Canada,123
Rye,2004,TY Imp. from U.S.,Canada,0
Rye,2004,TY Imports,Canada,0
Rye,2004,Yield,Canada,2.54Rye,2005,Area Harvested,Canada,136
Rye,2005,Beginning Stocks,Canada,145
Rye,2005,Domestic Consumption,Canada,158
Rye,2005,Ending Stocks,Canada,185
Rye,2005,Exports,Canada,132
Rye,2005,Feed Dom. Consumption,Canada,88
Rye,2005,FSI Consumption,Canada,70
Rye,2005,Imports,Canada,0
Rye,2005,Production,Canada,330
Rye,2005,Total Distribution,Canada,475
Rye,2005,Total Supply,Canada,475
Rye,2005,TY Exports,Canada,141
Rye,2005,TY Imp. from U.S.,Canada,0
Rye,2005,TY Imports,Canada,0
Rye,2005,Yield,Canada,2.43Rye,2006,Area Harvested,Canada,164
Rye,2006,Beginning Stocks,Canada,185
Rye,2006,Domestic Consumption,Canada,243
Rye,2006,Ending Stocks,Canada,117
Rye,2006,Exports,Canada,208
Rye,2006,Feed Dom. Consumption,Canada,178
Rye,2006,FSI Consumption,Canada,65
Rye,2006,Imports,Canada,0
Rye,2006,Production,Canada,383
Rye,2006,Total Distribution,Canada,568
Rye,2006,Total Supply,Canada,568
Rye,2006,TY Exports,Canada,207
Rye,2006,TY Imp. from U.S.,Canada,0
Rye,2006,TY Imports,Canada,0
Rye,2006,Yield,Canada,2.34Rye,2007,Area Harvested,Canada,115
Rye,2007,Beginning Stocks,Canada,117
Rye,2007,Domestic Consumption,Canada,143
Rye,2007,Ending Stocks,Canada,35
Rye,2007,Exports,Canada,191
Rye,2007,Feed Dom. Consumption,Canada,83
Rye,2007,FSI Consumption,Canada,60
Rye,2007,Imports,Canada,0
Rye,2007,Production,Canada,252
Rye,2007,Total Distribution,Canada,369
Rye,2007,Total Supply,Canada,369
Rye,2007,TY Exports,Canada,167
Rye,2007,TY Imp. from U.S.,Canada,0
Rye,2007,TY Imports,Canada,0
Rye,2007,Yield,Canada,2.19Rye,2008,Area Harvested,Canada,123
Rye,2008,Beginning Stocks,Canada,35
Rye,2008,Domestic Consumption,Canada,143
Rye,2008,Ending Stocks,Canada,113
Rye,2008,Exports,Canada,76
Rye,2008,Feed Dom. Consumption,Canada,88
Rye,2008,FSI Consumption,Canada,55
Rye,2008,Imports,Canada,0
Rye,2008,Production,Canada,297
Rye,2008,Total Distribution,Canada,332
Rye,2008,Total Supply,Canada,332
Rye,2008,TY Exports,Canada,76
Rye,2008,TY Imp. from U.S.,Canada,0
Rye,2008,TY Imports,Canada,0
Rye,2008,Yield,Canada,2.41Rye,2009,Area Harvested,Canada,115
Rye,2009,Beginning Stocks,Canada,113
Rye,2009,Domestic Consumption,Canada,131
Rye,2009,Ending Stocks,Canada,139
Rye,2009,Exports,Canada,124
